clusterNumber;delta_1;epsilon_1;zeta_1;alpha_2;beta_2;gamma_2;delta_2;chi_1;chi_2;NN;CC;mu;nu0_1;nu1_1;nu2_1;nu3_1;nu4_1;nu0_2;nu1_2;nu2_2;nu3_2;nu4_2;
19;7.539077019557;13.041812431559;11.196583790409;14.682747901725;14.040212928467;11.081257000337;7.832336571454;10.745161783556;8.34636455006;0.430004174411;0.383543953268;9.519402757649;7.166736240182;6.992098529502;6.372628914258;6.286957584491;6.616462698982;9.888448485879;9.275568972925;7.384209615746;6.534086420359;8.273873424872;
201;8.043219844728;11.315205631625;11.977510911753;14.277456610901;8.73518058516;13.720592967411;11.740267229319;15.302217516968;12.880354925458;0.337083732124;0.171342659535;13.971016854424;6.310022942505;3.977126731908;4.978822279961;7.23263726308;7.941073259236;6.029943595188;5.321507599032;6.029943595188;7.25899767224;7.130490677588;
207;7.43363538292;11.021946079728;10.23113380495;14.982597555912;8.866982630956;12.25759025907;6.550561676084;13.400973006354;11.542564160624;0.413199413572;0.347957400903;9.469976990475;10.099331759153;6.619757750127;4.253911028081;7.351259104297;10.488147794253;5.924501958551;4.873380643324;6.359448709679;8.250808066858;8.076170356178;
209;14.722288515464;14.887041072709;11.591989927798;16.043604024573;10.636425095774;10.086151554574;15.977703001675;14.643207287986;15.546051301692;0.305780746248;0.290294005867;10.422246771354;13.608561228484;10.297034827848;10.778112295005;14.699223157449;14.606961725392;12.933075743777;11.769922689623;12.616750833865;14.31040712235;14.300521968915;
210;13.470169080397;14.68604295287;13.93477129183;15.463675023069;14.409258656697;12.44540817433;13.012156971255;15.661378091763;14.412553707842;0.331482145178;0.329505114491;9.993890122516;14.666272646;15.694328603213;15.22972639178;14.600371623102;11.911609888854;9.216258052317;7.572027531006;11.374516552234;12.956141101791;13.608561228484;
211;14.10940900251;12.102722855259;13.351547239181;15.77999993298;16.333568525325;15.02872827194;11.453597779712;14.564126060508;13.536070103296;0.312370848538;0.322585507087;7.42704528063;13.710707813976;7.137080779878;5.667487969247;11.944560400303;15.743754370386;12.824339055995;9.153652080564;8.385905163799;11.361336347654;13.92818118954;
2141;11.516203751465;10.659490453788;15.829425700154;14.933171788738;13.714002865121;13.331776932311;10.570524072875;13.456988875818;9.572123575967;0.273489245028;0.335765711666;6.230941715027;9.028440137057;5.58840674177;6.273777379911;9.476567092765;10.985700517134;14.47186462845;13.964426752134;12.725487521647;9.308519484374;11.585399825508;
2144;9.990595071371;14.870565816985;14.412553707842;12.290540770519;14.86068066355;14.435619065856;13.341662085746;12.778208339966;15.747049421531;0.343673834414;0.377612861207;14.320292275785;12.135673366708;7.384209615746;3.89145540214;8.441921033263;12.293835821664;13.532775052151;8.119006021061;7.4468155875;12.939665846067;14.725583566609;
2146;10.353050697311;12.102722855259;14.270866508611;14.564126060508;10.438722027079;12.83422420943;14.247801150596;14.10281890022;12.669471652184;0.274148255257;0.291612026325;5.440129440249;5.288557087583;4.530695324253;5.753159299015;7.529191866122;7.130490677588;9.051505495071;11.588694876653;14.712403362029;14.590486469667;13.19667983537;
216;14.063278286481;15.374708642156;14.1159991048;14.992482709346;14.270866508611;11.914904939999;14.254391252886;15.374708642156;13.796379143744;0.391122570901;0.372340779375;14.033622826177;12.900125232328;7.858696980613;8.240922913423;12.738667726227;14.218145690292;15.015548067361;16.297322962731;17.210052129872;14.195080332278;12.25100015678;
