clusterNumber;ntc;cana;delta_1_deviation;delta_1_meanValue;epsilon_1_deviation;epsilon_1_meanValue;zeta_1_deviation;zeta_1_meanValue;alpha_2_deviation;alpha_2_meanValue;beta_2_deviation;beta_2_meanValue;gamma_2_deviation;gamma_2_meanValue;delta_2_deviation;delta_2_meanValue;chi_1_deviation;chi_1_meanValue;chi_2_deviation;chi_2_meanValue;NN_deviation;NN_meanValue;CC_deviation;CC_meanValue;mu_deviation;mu_meanValue;ribosePseudorotation_1;ribosePseudorotation_2;
2141;BA13;B-A;0.12199851471440365;2.4675464964695832;0.11292280260403312;3.8378044922103314;0.17575465567582899;3.49659262344544;0.17453292519943295;1.4290755915329567;0.14521139376592823;4.029790709929707;0.14119713648634125;3.4255577228892706;0.11205013797803595;1.5320500174006226;0.1425933998879367;4.620410128804589;0.10140362954087054;3.4452799434368067;0.166;4.154;0.204;4.601;0.06597344572538565;0.5403539364174444;2.628814919353859;0.23561944901923448;
2144;BB08;BB2;0.10576695267085637;2.566332132132462;0.20367992370773824;4.344648106989484;0.1795943800302165;3.158347814408939;0.14590952546672592;1.1571532940722404;0.19338248112097173;3.9287361462392356;0.18622663118779495;3.639186023333376;0.17889624832941875;2.588148747782391;0.1492256510455152;4.716228704739078;0.20996310901491783;4.0996038800094805;0.209;4.691;0.229;5.065;0.1673770752662562;0.5194099853935126;2.814168885915657;2.968281458866756;
2146;BB05;B12;0.1096066770252439;2.476971274430352;0.130201562198777;3.8385026239111295;0.15847589608108512;3.445105410511607;0.15550883635269475;1.3334315485236679;0.11065387457644049;4.069235151024779;0.14049900478554353;3.7219146298779076;0.16929693744344995;2.2521728667734826;0.18186330805780915;4.6443211395569115;0.1514945790731078;3.63813882578218;0.167;4.189;0.177;4.685;0.05759586531581287;0.5024802916491674;2.639112361940626;2.5106561289938427;
216;BA17;B-A;0.15236724369910498;2.605427507377135;0.17470745812463237;4.4198717977504405;0.17191493132144145;3.081204261470789;0.165282680163863;5.146975964131277;0.15114551322270892;2.2818434640573866;0.12618730491919003;0.7717845952318925;0.15132004614790837;1.7058848108992575;0.17086773377024486;4.732634799707824;0.1478293876439197;4.059112241363212;0.237;4.548;0.226;4.894;0.16249015336067207;0.6665412413366344;2.737897997603505;1.3861404919338964;
2171;BB16;BBw;0.13945180723434694;2.4008749190433996;0.20263272615654165;3.851592593301086;0.16371188383706814;4.926017280828796;0.14329153158873445;4.963192793896274;0.1754055898254301;3.011216558465817;0.11135200627723822;0.830427658098902;0.11117747335203879;2.441366557689668;0.15463617172669758;3.563613266722022;0.2209586833024821;4.714134309636685;0.235;4.897;0.17;5.459;0.12583823906879116;0.5708971983273452;2.916445180082525;2.6937411675280485;
21712;IC06;ICL;0.20245819323134223;2.382548961897459;0.16266468628587152;4.120547831033413;0.16615534478986016;4.892157893340106;0.20786871391252465;5.023581186015278;0.15062191444711065;3.0396654252733244;0.1773254520026239;0.8213519459885316;0.15865042900628457;2.4745278134775606;0.14521139376592823;3.6128315516282616;0.12845623294678266;4.702266070723122;0.203;6.211;0.131;6.232;0.0804596785169386;0.6897541203881591;2.744530248761083;2.627593188877463;
218;BB10;miB;0.1181587903600161;2.408903433602574;0.1850049007113989;3.4175292083300968;0.16283921921107095;3.3428291163447392;0.19024088846738194;0.3830997708127553;0.1525417766243044;1.8568557911967674;0.16982053621904827;0.330565360327726;0.1457349925415265;2.255838058202671;0.1876228945893904;4.489684967830214;0.17174039839624203;4.4991097457909826;0.238;4.389;0.238;4.874;0.12845623294678266;0.44907321653814103;2.6677357616733324;2.498962423005481;
219;BB11;BBw;0.11135200627723822;2.5364870019233594;0.18535396656179778;3.4793138638506957;0.17208946424664087;3.4953708929690444;0.21676989309769573;2.1462313811774267;0.1832595714594046;3.957534078897142;0.1630137521362704;3.270223419461775;0.12007865253720987;2.5117033265450397;0.19058995431778078;4.473802471637065;0.16720254234105678;3.885102914939377;0.293;4.648;0.281;5.138;0.13857914260834978;0.5146975964131277;2.8660051646998883;2.9178414434841202;
2191;BA10;B-A;0.1715658654710426;2.3774875070666757;0.131423292675173;3.493974629567448;0.2235766771804736;4.115486376202629;0.19826940302655582;1.6610298491230036;0.2284635990860577;3.8179077387375955;0.15358897417550102;3.578972164139572;0.14713125594312196;1.5639895427121187;0.16196655458507378;4.430518306187605;0.14486232791552936;3.4990360843982318;0.169;3.988;0.192;4.426;0.0841248699461267;0.49218284906240095;2.6424284875194153;0.4375540434749784;
220;BB13;miB;0.13857914260834978;2.487966848717917;0.17208946424664087;3.2716196828633706;0.17174039839624203;5.11538550467018;0.18099064343181195;3.827157983773166;0.17523105690023066;1.711644397430839;0.11868238913561441;2.8136452871400586;0.14905111812031574;2.5424211213801393;0.17383479349863523;4.4156830075456535;0.13473941825396224;3.814766146084006;0.212;4.359;0.204;4.86;0.09826203688728076;0.4312708581677988;2.9167942459329237;3.1026718112703198;
